"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.105059059478043,0.106033768181789,0.0468691389501634,TRUE,0.489575304860482,1.001019469596,-0.0515032815860024,TRUE,0.361519134272258,1.00099595183838,0.0668301701406901,TRUE,0.543529729596909,1.00105284271785,-0.105846277405552,TRUE,0.534209057887586,1.00101526874501
2,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.118989678612842,0.120265727163522,-0.0300518885204926,TRUE,0.600877731799619,1.00111525869609,-0.105769213521851,TRUE,0.448192859687954,1.00098901779404,-0.0643888211616699,TRUE,0.72017511990841,1.00100044682148,-0.124861261632747,TRUE,0.652767326694911,1.00098638801169
3,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.131585842912579,0.132462579819646,0.0535180857021593,TRUE,0.522631875850068,1.00098600277113,-0.176586315404144,TRUE,0.578901747746017,1.00100853037129,-0.0852125773821675,TRUE,1.27048853602064,1.00100259145132,-0.233626558725982,TRUE,0.689465806475523,1.00100689288993
4,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.111518279090154,0.113582872607695,-0.0252103093048976,TRUE,0.568058678701788,1.0009892685742,-0.0218469331065456,TRUE,0.366024640544988,1.0010060946694,-0.150065010540923,TRUE,0.851878508243891,1.00098695780605,0.0233252147827067,TRUE,0.442901427508968,1.00098864067773
5,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.126131250177839,0.127048352625416,-0.216138029359908,TRUE,0.682339506851923,1.00108581375362,-0.315498922320288,FALSE,0.510950231582022,1.00099504186361,-0.279804037564644,TRUE,0.765799248328971,1.00107163296038,-0.328036651073329,TRUE,0.762516562094668,1.00098810461238
6,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.136430013091486,0.138882299663401,0.048319069944888,TRUE,0.546792194489858,1.00147556723561,-0.0840889093709056,TRUE,0.445332094269678,1.00099137833049,0.106729914127606,TRUE,0.57594012296888,1.00101434702733,-0.192391954691844,TRUE,0.688947401228499,1.00109537723265
7,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.137298386056182,0.137298386056182,-0.0332900322173788,TRUE,0.517278121226183,1.0010110614096,-0.171958783925622,TRUE,0.418192322245045,1.00100920225224,-0.127868226629799,TRUE,0.675211289669242,1.0010184651459,-0.193085011738927,TRUE,0.614530947296425,1.00098659242029
8,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.119479713086448,0.120197535444178,-0.0591759551234763,TRUE,0.507888727744194,1.00100927222797,-0.22046599626062,FALSE,0.429414745931935,1.00101004124307,-0.0643226824142868,TRUE,0.656963980698384,1.00123465153525,-0.282868536901896,FALSE,0.615227408602783,1.0009908763577
9,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.116595200220516,0.117812294066023,0.0500035485001836,TRUE,0.572528162821755,1.00098909062879,-0.0538481861324394,TRUE,0.410967709169303,1.00104647789755,0.0659215259798723,TRUE,0.550919379809715,1.00108805072174,-0.11457083657654,TRUE,0.645896644726975,1.00098934989953
10,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.112588504940706,0.114341836092221,0.0493529614708724,TRUE,0.463238605729558,1.00100913412411,-0.12429737675461,TRUE,0.399033998554613,1.00101434780117,-0.0114489074173241,TRUE,0.55458607683337,1.00260698026797,-0.172993468359641,TRUE,0.627804536525849,1.0009918737132
11,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.119060245812166,0.11999870283865,-0.0260962709551904,TRUE,0.547257909918424,1.00162553246238,-0.123342585312554,TRUE,0.405801659947189,1.00099912397894,-0.003044559326709,TRUE,0.582297799816353,1.0014610544807,-0.183353798987812,TRUE,0.635093497034424,1.00100947666233
12,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.117470622394025,0.11799390540435,-0.120411499442623,TRUE,0.678888454561275,1.00115066847389,-0.262889365183141,FALSE,0.466905986705541,1.0010633951903,0.0740670618765213,TRUE,0.553176250556988,1.00098647679306,-0.438867546254663,FALSE,0.65042718192586,1.00101092259592
13,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.125614004086447,0.128899726237654,0.155227782294675,TRUE,0.470512320386898,1.00105813310376,0.0347189169392875,TRUE,0.409222742917303,1.00101261306696,0.185892873447606,TRUE,0.624506268475219,1.001053054292,-0.055455743369121,TRUE,0.604996403319301,1.00099136711401
14,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.118898671147742,0.119212487832286,-0.100999294826624,TRUE,0.5300033071017,1.00102689753228,-0.15256051648605,FALSE,0.341790480371896,1.0009861612276,-0.275993185531919,TRUE,0.737809944965576,1.00156291880807,-0.114461182925257,TRUE,0.428916638984478,1.00100752568373
15,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.110478294087375,0.111619623822981,-0.0182039743224536,TRUE,0.457928322876065,1.00101952393717,-0.192985009771328,FALSE,0.357587535317273,1.00103560269112,-0.220672084070147,TRUE,0.701496956297197,1.00098818846482,-0.181583450337619,TRUE,0.475435968821856,1.00098840699714
16,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.11784284957459,0.120148567670441,0.0449877245967609,TRUE,0.427594949878485,1.0010166465337,-0.0352742492490148,TRUE,0.235852867187521,1.00100359918627,-0.0399363074179244,TRUE,0.666061076988339,1.00127855848752,-0.0356184957044843,TRUE,0.274418787773636,1.00098810135651
17,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.124387616699227,0.126088401430827,0.0822779318116921,TRUE,0.540443067200304,1.00098640866351,-0.00961612281419999,TRUE,0.433607576117105,1.00098647429487,0.0155644584631763,TRUE,0.657606487578693,1.00098616226605,-0.0233350326019917,TRUE,0.670795952050638,1.0010219766097
18,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.123957684701168,0.125835401317657,-0.0765225122730999,TRUE,0.539251071034786,1.00107186055235,-0.21782919112456,FALSE,0.393756793519441,1.00098648672627,-0.0883190739579607,TRUE,0.738618993012139,1.00112966436934,-0.27247270073945,FALSE,0.527518506881647,1.0009993818235
19,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.124784496782883,0.125300184395116,-0.144559194203189,TRUE,0.556964897169728,1.00119673239019,-0.255010326679887,FALSE,0.371261833264469,1.00099025842379,-0.221581140263727,TRUE,0.690857034647133,1.00108480799792,-0.265047513733091,FALSE,0.517494253948974,1.00099235459488
20,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.108956054842965,0.110496049354777,-0.0434759487306606,TRUE,0.469801439760545,1.00098603357912,-0.135658679983891,TRUE,0.312281740948872,1.0009865571367,0.0235220977840177,TRUE,0.517393441360231,1.0009861136539,-0.188375470599013,TRUE,0.423406801440704,1.00104297577025
21,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.121619216054094,0.122220314259971,-0.171230057231796,TRUE,0.487579098530597,1.00158778049673,-0.223186335334764,FALSE,0.25180821225673,1.00099300083367,-0.14586671672404,TRUE,0.785853680278774,1.00107332103266,-0.235353204195273,FALSE,0.273472698107461,1.00098996331638
22,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.135100794175959,0.136324346510326,0.094013891804669,TRUE,0.529753299417317,1.00157005297535,-0.059925661365307,TRUE,0.410140801971075,1.00104483382734,0.201391524199859,TRUE,0.50323945830059,1.00125361031153,-0.193024305579617,TRUE,0.601583061153619,1.00098670010002
23,"rand=1-1_rate=2_ROB=LH_Bias=Rct-NRE Moderate","1-1",2,"LH","Rct-NRE Moderate",0,0.0953101798043249,0.139761942375159,0.048790164169432,0.182321556793955,0.300104592450338,0.124154308138147,0.124339587250782,0.03271695125268,TRUE,0.522543102328935,1.001054345354,-0.105597314470063,TRUE,0.395534302498108,1.00099862223228,-0.0608422844247629,TRUE,0.854842486993348,1.00108094621615,-0.126756676769959,TRUE,0.497358038184097,1.00098691289387
