"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0958852660456188,0.10126883742018,-0.271493141476405,TRUE,0.695037501892566,1.00122918449842,-0.337176572099515,FALSE,0.441703050000525,1.0009913891755,-0.182480303913877,TRUE,0.634590329648866,1.00108494110377,-0.449195129225323,FALSE,0.70655791067042,1.00100425893548
2,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0858718839308951,0.0874338604981005,0.024461635525362,TRUE,0.599001049156267,1.00099301729891,-0.162923279270027,TRUE,0.542214921225821,1.00099155906881,-0.258764926570091,TRUE,1.02447201128163,1.00107593430432,-0.0871208702050832,TRUE,0.664631936111542,1.00099587037374
3,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0897748169631695,0.0903453946862726,0.0323928695491504,TRUE,0.573513088795937,1.0011171059992,-0.135785803042662,TRUE,0.504196621027037,1.00104293011591,0.10691869576065,TRUE,0.466019853500282,1.00098941151402,-0.408969243942877,TRUE,1.06071917776813,1.00100163671137
4,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0953068987755702,0.0965477427315826,-0.13316111423754,TRUE,0.529874237067937,1.00099029263153,-0.1973656869364,FALSE,0.339041480985208,1.00098953063411,-0.146006468691261,TRUE,0.581231732677126,1.00098930213238,-0.220896686680768,TRUE,0.516091131965149,1.00100913270029
5,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0667589004699203,0.0696210504978692,-0.0249992130062529,TRUE,0.509234080308589,1.00098743163133,-0.137669150590838,TRUE,0.420707729618882,1.00098631577591,0.0458481037635503,TRUE,0.455785987822999,1.00103514345972,-0.291811570099017,TRUE,0.845852235896194,1.00101345437216
6,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0867497545078073,0.0873872475942789,-0.0211300455581354,TRUE,0.526151986346545,1.00101428459374,-0.14685408725345,TRUE,0.388416289401419,1.00103657176503,-0.0629737468043601,TRUE,0.497566273425929,1.0021177555477,-0.198968746850096,TRUE,0.763918733397604,1.00098671921877
7,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0987467701494609,0.099908329751341,-0.00992418655655891,TRUE,0.529448123166382,1.00106264294353,-0.0899817297048691,TRUE,0.384206351155435,1.00098661358416,0.0232173368179571,TRUE,0.490706987634906,1.00152640349653,-0.161257299709271,TRUE,0.712767506006753,1.00104734374346
8,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.093995897705918,0.0959082082645564,-0.114698179547934,TRUE,0.694966468031456,1.00141202899245,-0.108158758365337,TRUE,0.48511524215222,1.00098674986701,-0.0226319142053912,TRUE,0.511357601526127,1.00174369182638,-0.220122788654403,TRUE,1.19727861715283,1.00099189259208
9,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0792323458424845,0.0808284639427035,-0.0995975590374252,TRUE,0.68059535261083,1.00098630410032,0.00457080233478524,TRUE,0.435301294804039,1.00098693408307,0.0266870081799028,TRUE,0.649386655555391,1.00098825604151,-0.0170862832780112,TRUE,0.777341005545869,1.00098920368104
10,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0857475309671576,0.0877332598725123,0.154389923272983,TRUE,0.361732832424236,1.00098773928391,-0.00696451868504089,TRUE,0.446163345990563,1.00100149508341,0.128904219524056,TRUE,0.603189616032936,1.00098901179814,-0.159231537639939,TRUE,0.779314287427865,1.0010284619631
11,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0843260243020261,0.0859007425805435,-0.0711305314683954,TRUE,0.505127064935808,1.00127242197563,-0.139418172764861,TRUE,0.331121448788948,1.00098782467971,-0.055732049966809,TRUE,0.523788058702916,1.00118424289518,-0.183429730317976,TRUE,0.533119352999476,1.00098692215975
12,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0972080165907222,0.0998037312700404,0.0522205329157089,TRUE,0.549025586682612,1.00098674225531,0.0346637847265565,TRUE,0.404577292321706,1.00101161703793,0.20069078724814,TRUE,0.460589706083448,1.00102993778493,-0.139993051520524,TRUE,0.743653754076909,1.00098829577047
13,"rand=1-2_rate=1.5_ROB=LH_Bias=NRE strong","1-2",1.5,"LH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0918508010985775,0.0945002339647442,-0.000735027940513611,TRUE,0.654484074921085,1.00102519593217,-0.106618373628265,TRUE,0.508004213146743,1.00099414731772,-0.159278311240147,TRUE,0.759072534274316,1.0011239316565,-0.0514654462142634,TRUE,0.889046038885716,1.00104155307176
