"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0767393528610255,0.07953863676808,-0.119455770055088,TRUE,0.59601436589759,1.00173349944888,-0.190644704723855,TRUE,0.460516420670292,1.00104398210924,-0.0571988714830634,TRUE,0.639263578697241,1.00099170244139,-0.252395460351146,TRUE,0.69839641639617,1.00107913827633
2,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0924540534022794,0.0933564143118322,0.108093037204844,TRUE,0.369829004876846,1.00100166703508,0.10326825672143,TRUE,0.246294851641237,1.00099408040063,-0.0486909283130268,TRUE,0.561253059414016,1.00101140793643,0.142843897789331,TRUE,0.297755310194941,1.00098601842617
3,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.088701688783752,0.0897553485386032,-0.209587476547472,TRUE,0.628985726599953,1.00102754511634,-0.233521702505064,FALSE,0.468230469058785,1.00098877622554,-0.319720305727509,TRUE,0.855491090948153,1.00103723864957,-0.187814592006269,TRUE,0.640137652108522,1.0009874372462
4,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0817438178008132,0.0838289005421194,-0.135321107489335,TRUE,0.580451875151754,1.00098611941534,-0.234983771339862,FALSE,0.444822712086478,1.00098699693804,-0.455331793670268,TRUE,1.15537955814757,1.00100659779268,-0.153120806755772,TRUE,0.490114860511571,1.00098625874744
5,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0772367360812429,0.0791442296435638,-0.143434718419251,TRUE,0.588033679720927,1.00098725627654,-0.17133084540456,TRUE,0.45765452972061,1.00098937052648,-0.00599815280572558,TRUE,0.604595304165529,1.00105553200474,-0.265916178812101,TRUE,0.70911481737045,1.00099086277504
6,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0866925438495652,0.0877309870074133,-0.0778929402982593,TRUE,0.603232344703912,1.00106881394438,-0.0942908911534748,TRUE,0.448534003376616,1.00116093983262,-0.243717208670597,TRUE,0.745870364139907,1.00103693281223,-0.0317522607877996,TRUE,0.631905127532876,1.00105808620446
7,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0912639251206918,0.0929227474208383,-0.0638409338138459,TRUE,0.396708148359969,1.0010941707017,-0.160303468022816,FALSE,0.230634415928903,1.00098704304524,0.00746325999884367,TRUE,0.522233202740905,1.00110667040819,-0.190132549473528,FALSE,0.28610247389475,1.00098826132641
8,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0760700723223133,0.08038201912699,-0.0628991679547153,TRUE,0.470280975479044,1.00111638777554,-0.0406198696897893,TRUE,0.309510207141481,1.00099535224232,-0.0900123111340974,TRUE,0.611168463235024,1.00121796271826,-0.0224616798660149,TRUE,0.408918249239422,1.00099457499925
9,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0745416743132229,0.0765845032772101,-0.072703753068061,TRUE,0.499717548130051,1.00102020352169,-0.198290511688196,TRUE,0.459018423757018,1.00099706046399,-0.1222823659234,TRUE,0.682885751822953,1.00099941038149,-0.231924822139828,TRUE,0.699195088918547,1.00100190623747
10,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE strong","1-2",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0868125997691513,0.0881950121319054,-0.118917307081108,TRUE,0.584466062058227,1.00099270266928,-0.244191715377774,FALSE,0.510234918885723,1.00100043556243,-0.281134013987472,TRUE,1.33032872241164,1.00099432454496,-0.236952796267285,TRUE,0.578542768775031,1.00101931022023
