"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0868049747213508,0.0879331158291004,0.0260015691109711,TRUE,0.414812852616081,1.00099195740625,-0.0678948751798882,TRUE,0.423612836832047,1.00100006616638,-0.00223144225904792,TRUE,0.494460071082733,1.00156833195012,-0.133525819647871,TRUE,0.924582946586043,1.00099910683459
2,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0759079538171877,0.0771083211485999,-0.131226347922194,TRUE,0.603089663946556,1.00103606301371,-0.116891245706425,TRUE,0.523938051537974,1.00108274825196,0.0778259817979018,TRUE,0.656037516997292,1.00100892173798,-0.375023481127573,TRUE,0.899775892953202,1.00099927499191
3,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0668938594305576,0.0684168079147357,-0.0582306775077102,TRUE,0.477741841220334,1.00102682252089,-0.0565334412358323,TRUE,0.323824113631339,1.00098602001951,0.0478943772963195,TRUE,0.436506264417755,1.00108164160443,-0.125415578532157,TRUE,0.545841541778533,1.00098700099609
4,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0738401769643418,0.0753773060377314,-0.0336530099995564,TRUE,0.431395170277903,1.00099258336886,-0.081727747487776,TRUE,0.316029555925161,1.00104379629496,0.0314623145670783,TRUE,0.435488819153485,1.00323806726061,-0.152318165508719,TRUE,0.572249366956324,1.00102452517059
5,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0836131820298343,0.0859006141567247,0.0742935628457813,TRUE,0.389405805305626,1.00099172985054,-0.0172390179980637,TRUE,0.297825998999938,1.00099982688974,0.101821769478348,TRUE,0.437730611928458,1.00098855401182,-0.0822192992041137,TRUE,0.468414527878992,1.00108826472508
6,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0887794833270221,0.0901772942336394,0.112726238751734,TRUE,0.44976793264407,1.00099137345597,-0.00496882150204625,TRUE,0.429537697760437,1.00100231309583,0.17972294266685,TRUE,0.410419471535679,1.00099701204474,-0.215364513994851,TRUE,0.963042753257056,1.0010389608845
7,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0729259449718402,0.0733130784686412,-0.197167760083266,TRUE,0.582917201464819,1.00103271557688,-0.290239552815706,FALSE,0.505676307607108,1.00101474972345,-0.218927225566882,TRUE,0.594211219634559,1.00098612033559,-0.363396276216677,TRUE,1.11091177925036,1.00099929204588
8,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0618293480637356,0.0641868771808185,-0.0127073537562994,TRUE,0.511312271581106,1.00112999731594,-0.0235051726142004,TRUE,0.401657204483545,1.00098643103613,-0.0378779650803107,TRUE,0.536379113582643,1.00133245985204,-0.00892489768735238,TRUE,0.787778118783816,1.00098732256082
9,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0579788083583452,0.0622781098773811,-0.300626091461352,FALSE,0.645302582618542,1.00111757202266,-0.360033940616308,FALSE,0.532520357075016,1.00098614482799,-0.21574330079345,TRUE,0.730933826711575,1.00098997958307,-0.489186103698451,FALSE,0.919550282757261,1.00098801833287
10,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0759563295378008,0.0791622400854565,-0.147581594407862,TRUE,0.560206912513196,1.00098599419315,-0.18416923578667,TRUE,0.419182525203648,1.00098941111695,0.0104730960523604,TRUE,0.623084129910193,1.00104511186432,-0.325732954594155,FALSE,0.526872493509081,1.00100980200784
11,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE strong","1-2",1.5,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0818155938025601,0.083272165609712,0.00394335382895084,TRUE,0.499341219221478,1.00157070463621,-0.0834976104919682,TRUE,0.427686647493601,1.00098964793603,0.0110575401277554,TRUE,0.46908070504186,1.00115286966904,-0.181358587944395,TRUE,0.972039657311077,1.00098979747967
