"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.056731448867679,0.0587589227790322,0.0236999506589917,TRUE,0.467929959323525,1.00111400827534,0.0095313174961521,TRUE,0.344457067808137,1.00098890353101,0.00736047923425653,TRUE,0.467235435063692,1.0023779727076,0.00662464686920849,TRUE,0.664091646743231,1.00098604095733
2,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0453548174881382,0.0505937111232981,-0.142409673042282,TRUE,0.569219691404429,1.00110152083422,-0.05178639223179,TRUE,0.386201967710739,1.00117340857806,-0.301478601224752,FALSE,0.61703010906844,1.0010415309139,0.0968939500644156,TRUE,0.473857971635279,1.00101852849555
3,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0366544425222144,0.0387600885633029,-0.13548503188363,TRUE,0.496293013671749,1.00101619685324,-0.14215495873012,TRUE,0.316965885152122,1.00109421149046,-0.102648604746443,TRUE,0.530686397719396,1.00114761578394,-0.160425317483731,TRUE,0.492435014893528,1.0009972176991
4,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0578430132309169,0.0600459972642518,0.083492917011358,TRUE,0.375565699827597,1.00107451823542,-0.00670310713614652,TRUE,0.297044534852652,1.00101910503926,-0.0455687786549104,TRUE,0.480231309481105,1.0012065025737,0.0161029099579472,TRUE,0.477920562232224,1.00099986318786
5,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0326403776190065,0.0370541769709834,-0.0432598734975429,TRUE,0.435607283692756,1.00152429290952,-0.070197377818797,TRUE,0.276836680705528,1.00099193640657,-0.0345116500822953,TRUE,0.469391218509946,1.00114774419827,-0.0844747702471156,TRUE,0.450936350896237,1.00100246258728
6,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.059304283602563,0.0633290101524836,-0.154978745483531,TRUE,0.517246200697394,1.00100886772393,-0.179981693874684,FALSE,0.325478024064405,1.00099035080346,-0.0399438323369112,TRUE,0.482249965634715,1.00127755473589,-0.259050988760491,FALSE,0.499687042048404,1.00099010587066
7,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0587888113359745,0.0601759283854443,-0.0577593628944011,TRUE,0.550129889685834,1.00098820687466,-0.102619394672035,TRUE,0.414448654781321,1.00099141455588,-0.0718394944834857,TRUE,0.619281769534989,1.00111520592126,-0.128772611245721,TRUE,0.719555756213647,1.00101412510537
8,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0641556658242559,0.065029197595658,0.0462432717528488,TRUE,0.546769570569623,1.00107683716058,-0.0516749931647533,TRUE,0.474623663372176,1.00098798444987,0.132500675206959,TRUE,0.452309891361215,1.00122068029986,-0.290190296443024,TRUE,1.06781248673263,1.00098822948882
9,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0414854273674199,0.0449123265444163,-0.134988865091472,TRUE,0.50378747056694,1.00102650298686,-0.0552553382718186,TRUE,0.34613780256819,1.00099842275841,-0.130737850722601,TRUE,0.554229057783877,1.001021365613,-0.00290495028533844,TRUE,0.536605519807001,1.00110977691931
10,"rand=1-2_rate=1.5_ROB=L_UH_Bias=NRE moderate","1-2",1.5,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0685313321103315,0.0701264668516775,-0.104666708220416,TRUE,0.491283399485925,1.00117776076509,-0.152442461302501,TRUE,0.362952575296331,1.00099317025843,-0.0727499516500958,TRUE,0.511766408830759,1.00108398799087,-0.206288113083433,TRUE,0.646203753899445,1.00104754147076
