"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.060104386761095,0.0631143271210478,-0.138771844773502,TRUE,0.522459639453588,1.00099610865856,-0.106947443125051,TRUE,0.32569029142096,1.00099364455042,-0.279382520712031,TRUE,0.927091473000753,1.00122723477493,-0.0615819147160508,TRUE,0.356505081959018,1.00100785925224
2,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0457813178478759,0.0503419701311683,-0.185671126310311,TRUE,0.596202940552895,1.00101840073776,-0.162979465704034,TRUE,0.430616730003144,1.00102599251294,-0.109112425104998,TRUE,0.629942525508982,1.00099067048447,-0.194252724814876,TRUE,0.654368119370114,1.00098598994163
3,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0669273603934026,0.068429996996991,-0.101203597548331,TRUE,0.564622720132308,1.00107037098613,-0.158556643495989,TRUE,0.430785025078823,1.00108316008216,-0.263702434577981,TRUE,0.818561820164449,1.00105570713079,-0.114365292993461,TRUE,0.562799106808706,1.00098654499451
4,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0659268112943374,0.0698497066858089,-0.138508952548431,TRUE,0.612399913553137,1.00115846865118,-0.148711307166945,TRUE,0.467919101925286,1.00098772144814,-0.202761627286412,TRUE,0.8094226075,1.00107330174259,-0.126837051435475,TRUE,0.665180866619654,1.00114557399602
5,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0574901475972686,0.0579879671720772,-0.19801522785449,TRUE,0.519519942782394,1.00104620239272,-0.186221765358183,FALSE,0.356783336323651,1.00098691283495,-0.233033719937708,TRUE,0.656537888479788,1.00157306370844,-0.172965215374551,TRUE,0.492175421401853,1.00102497496567
6,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0702091685373489,0.0713052754214286,-0.0435562683683146,TRUE,0.510806521472679,1.00102595092092,-0.0883630657926266,TRUE,0.353478978710428,1.00098987581743,0.0643220446398717,TRUE,0.553739611521476,1.00159545069657,-0.145888512863097,TRUE,0.497694841251874,1.00098599360264
7,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0615087514608549,0.0631488016491871,-0.04038365263822,TRUE,0.447844230984189,1.00103759826732,-0.0761680882978488,TRUE,0.284407743653136,1.00098600588419,-0.0734631173834612,TRUE,0.599867804780381,1.00098712709504,-0.0775787019278609,TRUE,0.381357764113659,1.00098602848059
8,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0552781785230707,0.0570488304709105,0.0369679108077737,TRUE,0.511376703532625,1.00106151711674,-0.00481550296158373,TRUE,0.394985744706643,1.00101753247076,0.0870930139496804,TRUE,0.667328030329582,1.0012625280667,-0.0549523959272324,TRUE,0.562235083924837,1.00099914353145
9,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0498666609319909,0.0546316201347189,0.0514222158868014,TRUE,0.495339669138811,1.00098829826297,0.00510484650535925,TRUE,0.412576850188545,1.00100720586933,0.086201226832416,TRUE,0.54122512495986,1.00111570326205,-0.040561864113271,TRUE,0.659230731146495,1.00098692176351
10,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0528272970889569,0.0550638833002636,0.0275241563534094,TRUE,0.472591940008319,1.000986767473,-0.102096956610876,TRUE,0.44377608356275,1.00099028065574,0.215873546298456,TRUE,0.420256731126531,1.00103138040922,-0.331308896506755,FALSE,0.68595367509224,1.0009867964661
11,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0481725800374507,0.0509396223057881,0.0397813452708126,TRUE,0.447980624440971,1.00110353149883,0.0164361640851196,TRUE,0.362743599686609,1.00100387198705,-0.00399348774969077,TRUE,0.548889470279625,1.00129353200354,0.0284868625911484,TRUE,0.553380215055223,1.00098615062625
12,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE moderate","1-1",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0797620462235489,0.0815075113746391,-0.0646949457643404,TRUE,0.568326055443713,1.00098987948059,-0.110224312281731,TRUE,0.397232968427805,1.00102649768575,0.0937541298670264,TRUE,0.728601176933901,1.00107962060578,-0.214442048031244,TRUE,0.483154673578783,1.00098911670672
