"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0662804691132737,0.0677633282415798,0.00636143050518967,TRUE,0.484870856524586,1.0009965753209,-0.0325541345910743,TRUE,0.341908361624788,1.00099888481771,-0.0840107873648746,TRUE,0.763339021431064,1.00098613696447,-0.0150353722320153,TRUE,0.429913586005109,1.00111217930258
2,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0554960010013255,0.0579346799983627,-0.0758062948927427,TRUE,0.535944267024532,1.00099613794881,-0.151950220363554,TRUE,0.375684591305556,1.00099269152966,0.00987595009945963,TRUE,0.66010658075441,1.00099737987148,-0.224136564179186,FALSE,0.491617706747588,1.00098728772992
3,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0707454590618333,0.0715567527837114,0.0279811631633855,TRUE,0.423629096668019,1.00098618863386,-0.00929542814920503,TRUE,0.250419766113056,1.00098709097775,0.166700637949387,TRUE,0.510138529020664,1.00106516815022,-0.0548495506457571,TRUE,0.289683189731873,1.00101430315205
4,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.050211975354677,0.0511567394452172,0.061882554652511,TRUE,0.461583170376606,1.00105223182693,0.0324968033437023,TRUE,0.328720743311043,1.00098994533952,0.0368411477946795,TRUE,0.582700328834188,1.00098841245298,0.030065669391775,TRUE,0.460576002699413,1.00103797029653
5,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0563354344279937,0.0564402586322197,-0.131415591115299,TRUE,0.542906403477629,1.00116902945375,-0.104194710160159,TRUE,0.360342529695125,1.00102058155922,-0.195099478859227,TRUE,0.642990689612068,1.00114189872515,-0.0698194541652664,TRUE,0.503872685102452,1.00103284058621
6,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.052238166168759,0.0538596725905255,-0.0049607675521024,TRUE,0.525119259068522,1.00098797759873,0.0444871703101269,TRUE,0.377904955987572,1.00098697979386,0.0411569187905011,TRUE,0.725338045341245,1.00098695379237,0.0478899240305289,TRUE,0.515574518471322,1.00099157330789
7,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0699050315965923,0.0733151264099076,0.0287164537911826,TRUE,0.411822285103263,1.00100652592269,-0.0521964112933162,TRUE,0.292604465058062,1.00102530960939,0.107859976570871,TRUE,0.449126797188511,1.00111702039816,-0.108061340364804,TRUE,0.41334248808171,1.00098599144946
8,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0629190013739329,0.0652008306603142,-0.00187872559320423,TRUE,0.48836695418157,1.00104416292071,-0.035907275535368,TRUE,0.359103903705931,1.00100857827097,0.0357645137529945,TRUE,0.657153204351551,1.00098696211333,-0.0684563110129737,TRUE,0.490199458979642,1.00098749300157
9,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0713726204445632,0.0722400689897174,0.100632477105188,TRUE,0.393946582352368,1.00113840329935,0.0354303098770836,TRUE,0.304652475249656,1.00101071057268,0.150128535750814,TRUE,0.459024229006598,1.00470739946504,-0.0117616010741777,TRUE,0.451237569620851,1.00099071643569
10,"rand=1-2_rate=2_ROB=L_UH_Bias=NRE moderate","1-2",2,"L_UH","NRE moderate",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.0953101798043249,0.139761942375159,0.0734553623963174,0.0746569797507258,-0.0918236399202432,TRUE,0.457881980400342,1.00103052540235,-0.190477840030923,FALSE,0.345608747442207,1.00101253372525,-0.0420929459779356,TRUE,0.571363525160651,1.00100085087312,-0.246138414264645,FALSE,0.482852248159947,1.00098756279793
