"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.0048077213426399,0.0331540366193506,-0.0374824662091287,TRUE,0.537383615894637,1.00100058183052,-0.0353905795611587,TRUE,0.331399899421537,1.0009874851481,0.0097634322515977,TRUE,1.46229198270602,1.000995886846,-0.0455862554361868,TRUE,0.352927568861695,1.00102421949182
2,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.00129903378418896,0.027119817938726,-0.174679642749298,TRUE,0.506258000384351,1.00099224388216,-0.0991040404811498,TRUE,0.280291106614934,1.00110968305313,-0.282260602318723,TRUE,0.911223676349642,1.0011438066181,-0.0736380542905224,TRUE,0.310687321057259,1.00099112055844
3,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.008552364854868,0.0374560760743449,-0.0380604291136335,TRUE,0.549721779922498,1.00109325515504,-0.0129425303788928,TRUE,0.370241292087547,1.00099806157095,-0.108143966502466,TRUE,0.937212769335215,1.00103024506456,0.00887704443228043,TRUE,0.440516156678856,1.00101739992872
4,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.0176951327954764,0.0338531969158633,0.0981538130308323,TRUE,0.442801695950362,1.00100387541159,0.0442965095028306,TRUE,0.298697075578729,1.00100305412885,0.0549263447522317,TRUE,0.834347974709524,1.00099043732676,0.0419647793679581,TRUE,0.347211633209247,1.00099106154747
5,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.0141138777971425,0.0290330912511994,0.0510909597668286,TRUE,0.457922223305542,1.00098642466478,0.0126003852392921,TRUE,0.282880432032235,1.00109057597739,0.132631464672763,TRUE,1.11186458395326,1.00113460222768,-0.0160609095672308,TRUE,0.29537772852887,1.00104553398413
6,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.0111582609256014,0.0350355085424809,-0.000383191085782553,TRUE,0.465753796562768,1.00110417124651,0.0188824378650434,TRUE,0.26740169606304,1.00098650176121,0.182881261566265,TRUE,0.683749368089561,1.00100377058233,-0.00660657909285822,TRUE,0.308026064659668,1.00104918495344
7,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00391922844724087,0.0273257659001945,0.0729380961805719,TRUE,0.4812077819736,1.00098716280685,0.107392293122237,TRUE,0.302576761116268,1.00099826409204,0.0384240289409645,TRUE,1.52220609458458,1.00099006611787,0.118297917456809,TRUE,0.294637015936169,1.00098630884061
8,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.00881346664267609,0.0296286151285953,-0.109368705920785,TRUE,0.529824909096848,1.00115839729731,-0.0507562903997769,TRUE,0.311871097107834,1.00098782367571,-0.0705118206012152,TRUE,1.05703586847279,1.00100152231192,-0.0456050139929365,TRUE,0.34891150720261,1.00101246785889
9,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00494072893149239,0.0307440239379576,-0.0229083917495034,TRUE,0.482086325159172,1.00107385812116,-0.142668543453991,TRUE,0.363943297986236,1.00098730405958,0.0425493896814302,TRUE,0.734033127305033,1.00118278598723,-0.182753597427276,TRUE,0.445886780351058,1.00101298104167
10,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.00417464675712603,0.0393451994438361,0.0765284827564255,TRUE,0.404940965192485,1.00098697161515,0.0161106426057361,TRUE,0.262588334523077,1.00098680627749,0.0232083184501575,TRUE,0.693306761953303,1.00099265046027,0.0147908848107109,TRUE,0.311426890373248,1.00100056504755
11,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,-0.0100351228336092,0.0297771050500104,-0.0190055186762212,TRUE,0.5125593907859,1.0010195379824,0.0916586687211693,TRUE,0.296262170184136,1.00099998280663,-0.248906756460765,TRUE,1.26361311406602,1.00098785909007,0.147736341785146,TRUE,0.286570504923171,1.00099394232648
12,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00506144038797896,0.0207840773048203,0.00887584081426906,TRUE,0.504757876295085,1.00119612416782,0.0442637897052659,TRUE,0.350615880183048,1.00099323747761,-0.0507254025648105,TRUE,0.828926493056513,1.00102188520195,0.0643732482285025,TRUE,0.420622092836481,1.00100666741935
13,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.000655290243411916,0.0350885571545533,0.0471851433062098,TRUE,0.465340212120197,1.00110286415659,0.0249621160919498,TRUE,0.312039621825322,1.00099136549895,-0.0015827933897623,TRUE,0.750658894786179,1.00106974605697,0.0316773864973274,TRUE,0.374538126842417,1.00099163623931
14,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.000811246360016522,0.0288572551166214,-0.0983065230218658,TRUE,0.489150488394131,1.00118857318263,-0.0478809266968421,TRUE,0.284203034695137,1.00101153859856,-0.185463273146811,TRUE,0.796331401622449,1.00139252632995,-0.0245041013859184,TRUE,0.337077430419735,1.00099455086343
15,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00180942264059415,0.019821781690058,-0.118208319601675,TRUE,0.452025158641054,1.00115092336184,-0.120747838391013,FALSE,0.221139765241858,1.00100112728046,-0.131849752322678,TRUE,0.915835496109471,1.00109541371666,-0.119258893263368,FALSE,0.239630423466345,1.0009952760984
16,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00183064602604631,0.0348317737621228,0.0792600110250054,TRUE,0.463447642062961,1.00100794577571,0.0173567254032567,TRUE,0.315314670124091,1.00099126984444,0.183261135888977,TRUE,0.722613083067617,1.00124515733467,-0.018049198797256,TRUE,0.372027697320522,1.0010152027366
17,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.0157666010515244,0.0370111171488169,0.11340111943795,TRUE,0.450095668991603,1.00101017157134,0.0804569663558279,TRUE,0.320493943044586,1.00111172818501,0.203140825988022,TRUE,0.583570313928995,1.0020162136921,0.0495352173619665,TRUE,0.410867208342011,1.00104510154659
18,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.0107547683301849,0.0386228468576088,0.145268592447885,TRUE,0.39706700801405,1.00099011133092,0.0460518232545736,TRUE,0.28018881016913,1.00102775981045,0.316893069320566,TRUE,0.585853899550122,1.00136750573253,-0.0123705655202082,TRUE,0.317133997381252,1.00098599104763
19,"rand=1-2_rate=3_ROB=L_UH_Bias=No Bias","1-2",3,"L_UH","No Bias",0,0,0,0,0,0,0.00184451276847087,0.0321184153251873,-0.0228940049366493,TRUE,0.550276127415628,1.00099689928666,0.0230041501200852,TRUE,0.345941593258652,1.00107587479826,0.108696276567503,TRUE,1.00702429038913,1.00101072703496,0.00361552293596956,TRUE,0.404589700698547,1.00105307912702
