"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0819313538193217,0.0823816660538082,-0.108154239796526,TRUE,0.495464589812881,1.00103364734639,-0.19123192624118,FALSE,0.343102177634709,1.00098846620838,-0.0544329097656406,TRUE,0.667813626296501,1.00127097824373,-0.238450819389599,FALSE,0.43332164218309,1.00100606229138
2,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.092877232846005,0.094227035087905,-0.33236079805089,FALSE,0.692469266423636,1.00100526287871,-0.264036725065545,FALSE,0.483300021445391,1.00101214727123,-0.423345229519578,FALSE,0.862270502938613,1.00108087954516,-0.194464486892141,TRUE,0.659500873715129,1.00098975508288
3,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0892192779025641,0.0907613652949279,0.0374566323932597,TRUE,0.430950256281884,1.00105780521905,0.0369834468283301,TRUE,0.279121329979553,1.00099262544371,0.0786260050628438,TRUE,0.50095043873876,1.00168568083805,0.0214330026779166,TRUE,0.382902228029108,1.0009866780275
4,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.086434152624953,0.0884028087225339,-0.114497617075749,TRUE,0.529685470502787,1.00102360180981,-0.166925843008104,TRUE,0.36736190376738,1.0009993379404,0.021857190088643,TRUE,0.542721491076481,1.00105248233905,-0.253377958027998,FALSE,0.514589617530937,1.00101760035553
5,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0807276955123977,0.0825003892318491,-0.0799283514761533,TRUE,0.509106440964467,1.00105686473763,-0.123667263583934,TRUE,0.372158670190739,1.00098602935342,0.0200430617250892,TRUE,0.567536596774255,1.00098677997998,-0.188591249728079,TRUE,0.531648104869575,1.00099964156424
6,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0879501172438108,0.0891250199027761,-0.0436927624376509,TRUE,0.50926568456094,1.0011442107208,-0.116157100133069,TRUE,0.412841989000458,1.00098777526668,-0.0305692031068228,TRUE,0.619897349698896,1.00099866786361,-0.158547378758492,TRUE,0.624111832216138,1.00099215195695
7,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.101969793862707,0.102179108946486,-0.107046650972305,TRUE,0.508668547211411,1.00151064977714,-0.168497600445864,TRUE,0.404147549805458,1.00098774053582,-0.224909989530768,TRUE,0.645358297432191,1.00101242079622,-0.143123627814812,TRUE,0.596542882262437,1.00099114457799
8,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.092180913410851,0.0945723855331511,0.0709188702951885,TRUE,0.364221086052632,1.00098601106337,-0.032445532706995,TRUE,0.310465570940932,1.00100514697441,0.0767264531111682,TRUE,0.561262333247517,1.00098733383231,-0.0796032314012902,TRUE,0.416395293885217,1.00098925072088
9,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.105747811446877,0.106637460635371,-0.0578113977751207,TRUE,0.483794989054344,1.00108409402396,-0.149184518894821,TRUE,0.395756442540239,1.0009866981862,-0.0492420577919324,TRUE,0.529874487072158,1.00116901791534,-0.197853136174149,TRUE,0.627863148525436,1.00099119564244
10,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0806132662001231,0.0858040155582257,-0.350156830905435,FALSE,0.633849328551155,1.00108639322576,-0.27999609598176,FALSE,0.445473688379373,1.00101560355858,-0.37591741835331,FALSE,0.7979125793781,1.0009863200775,-0.234410235330436,TRUE,0.611426726740173,1.00100881697118
11,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0899703187094925,0.090583363639666,-0.0819169305692127,TRUE,0.404572041724067,1.00116764477728,-0.0904931726498308,TRUE,0.290958283000544,1.00100701003302,-0.00897345686108397,TRUE,0.636738304970285,1.00115486879753,-0.113585415702995,TRUE,0.362084531032633,1.00098867164332
12,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.099911357982431,0.100912475142362,0.0103121003840455,TRUE,0.417291484311868,1.00118758441297,-0.0629159692838643,TRUE,0.288664539932533,1.00098600114759,0.0348660546537248,TRUE,0.508844332386774,1.00100099046997,-0.097470980912538,TRUE,0.397296180728132,1.00099311816057
13,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0700823580473818,0.0712918008718094,0.0222651471115513,TRUE,0.494990106144549,1.00098698390353,0.0388391947682096,TRUE,0.330934576551968,1.00103472945646,0.0974686396238958,TRUE,0.642476200056481,1.00102638102927,0.012099566385647,TRUE,0.446186287429741,1.0009901747071
14,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0864191676622066,0.0872014011836284,-0.0258695402240348,TRUE,0.47350539979733,1.00102888003916,-0.105269503949372,TRUE,0.366480861065056,1.00100066628712,-0.0196332882169259,TRUE,0.589309948903052,1.00100594294388,-0.143937884895124,TRUE,0.526769538849616,1.00100365067291
15,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0818609854608043,0.0834572950447174,-0.024918446601367,TRUE,0.526041740263904,1.00101024624855,-0.095728813946695,TRUE,0.417198354871607,1.00102488798414,-0.258424723760718,TRUE,0.962311494420768,1.00103231319753,-0.0225172586755584,TRUE,0.481882645704364,1.00099941590121
16,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.101453176690212,0.101970740428684,-0.210810229592248,TRUE,0.537473932839943,1.00102789929573,-0.304586197764152,FALSE,0.396037245750891,1.00106580506504,-0.127564214366963,TRUE,0.776431485461519,1.00098599610107,-0.368381483161255,FALSE,0.507790047515779,1.00105015195004
17,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0881120151245433,0.088732196857907,0.00585505948568743,TRUE,0.497217021868728,1.00099514570864,-0.00156506730335471,TRUE,0.355334229702456,1.00100381985421,0.11120123849609,TRUE,0.531549660931863,1.00107416994153,-0.0537837031464401,TRUE,0.51767266867881,1.00110860639043
18,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0926961783650583,0.0946511360695197,-0.110327761307962,TRUE,0.50034609321418,1.00098678992672,-0.183437644086062,FALSE,0.368960875499064,1.00105586177238,0.0164122281885836,TRUE,0.512226159284467,1.00098803108367,-0.265254729555245,FALSE,0.535132995641908,1.00099678145965
19,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.108378078840291,0.109779331212254,-0.0133534936878112,TRUE,0.489303755216426,1.00098658236273,-0.116127094108729,TRUE,0.389052050837957,1.00098858913613,0.130605831692122,TRUE,0.643344787149206,1.00110812987738,-0.235329525645115,FALSE,0.486610844914128,1.00109537845902
20,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0877382190648338,0.0897401402913067,-0.0846417835934192,TRUE,0.478263824333842,1.00103933851507,-0.179592765685,TRUE,0.414722472003547,1.00099566540154,0.0869344643032678,TRUE,0.593696275679113,1.00110780993369,-0.319359006325093,FALSE,0.551797808344807,1.00099231534109
21,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.101290603277712,0.10222102762709,-0.0685126684076149,TRUE,0.497112572448559,1.00104333103198,-0.140642161953627,TRUE,0.396665380382407,1.00099730287468,-0.00707834343073377,TRUE,0.60610553469419,1.00146830230983,-0.208106109644943,TRUE,0.58365389690099,1.00098704785092
22,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0911132552354167,0.0926355345488802,0.0290602155284322,TRUE,0.431695214959669,1.00116752743034,-0.0402059031060378,TRUE,0.296856078517372,1.00098602951503,0.073642318685778,TRUE,0.516985489416001,1.00136740712473,-0.0824690907212462,TRUE,0.399622065539717,1.00101643178084
23,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.107359591175739,0.108528494590852,-0.188439515200638,TRUE,0.538169420931981,1.0011000321735,-0.280372290606347,FALSE,0.396963663775505,1.00109706538054,-0.0863499419123583,TRUE,0.658469795750291,1.00099410614025,-0.365340468412113,FALSE,0.531447025858998,1.00103111855451
24,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0925531332649111,0.0931948969718004,0.0995065690586766,TRUE,0.368154586960907,1.0009954938037,0.0437348602839082,TRUE,0.259309495173446,1.00098600832325,-0.032562227964438,TRUE,0.662979088003256,1.0009922704644,0.064110631341043,TRUE,0.313136205191555,1.00098737997876
25,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.108598318001303,0.110496103977911,-0.0714611145905923,TRUE,0.500372906706786,1.00178171128363,-0.142609168421888,TRUE,0.406656596792089,1.00099575417061,0.0328382914635539,TRUE,0.457883620897049,1.00153159462893,-0.238925493742148,TRUE,0.680880845339223,1.00099509805611
26,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0845106053891692,0.0875075091340477,-0.00300651180476352,TRUE,0.451914858375709,1.00099378772323,-0.110791007352687,TRUE,0.4569549490619,1.0010598184514,0.0407608028282552,TRUE,0.475424648918494,1.00098701244063,-0.212366366315383,TRUE,0.835000367438065,1.00099347482914
27,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0900741436176304,0.0909331478869838,-0.242588502548531,TRUE,0.550363942065986,1.00099075279717,-0.276980011629476,FALSE,0.387995681627045,1.00098988265076,0.0821525216187544,TRUE,0.575558117599087,1.00106491893058,-0.432665032657383,FALSE,0.390328152583907,1.00099051282843
28,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0754875040163702,0.0770336277357795,-0.10773026905765,TRUE,0.620542104433926,1.00100630333936,-0.147008434813745,TRUE,0.509268362260262,1.00098654290186,-0.165583862041782,TRUE,0.777169941408607,1.00100832841783,-0.135902202880861,TRUE,0.781658907885362,1.00098651857395
29,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0670778028558317,0.0722514982240312,-0.0147083873161133,TRUE,0.45683463062286,1.00129253409893,-0.0947918527979223,TRUE,0.365771953219217,1.00100303195729,0.0881641544891185,TRUE,0.525769266992679,1.00100783226326,-0.168484782220697,TRUE,0.535311266953639,1.00099445830612
30,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0857675382520778,0.089002608448078,-0.0258455172604164,TRUE,0.515711152047221,1.00098746092337,-0.0468938988558847,TRUE,0.363618315712272,1.00098616072774,0.0540299247293329,TRUE,0.605299571097648,1.00176673923208,-0.0934597303585631,TRUE,0.510965059180731,1.00098618610017
31,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0913924543196272,0.0935076564319744,-0.169959455327621,TRUE,0.617480771654681,1.00105273304947,-0.218839956478845,FALSE,0.452015200944994,1.00098907304115,-0.0458053306027466,TRUE,0.675333196149334,1.00101642131533,-0.305897155468004,FALSE,0.660972812555822,1.00099016853933
32,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0929777591564621,0.0945253241788218,0.0237349058692347,TRUE,0.519961996261816,1.00108950565419,0.014756914120706,TRUE,0.366336879496635,1.00101230252981,-0.038154787424356,TRUE,0.951601762487175,1.00098647955975,0.0337305474577596,TRUE,0.413629474347077,1.00116810745746
33,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0873802871404417,0.0908116684362489,-0.0255322211036821,TRUE,0.646687952631631,1.00102015663215,-0.0928122613900364,TRUE,0.465178906093381,1.00101685258326,0.239887385384903,TRUE,0.457158605552408,1.00107423997166,-0.342720890382054,FALSE,0.664029444922176,1.00099095776763
34,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.107471450131727,0.110170249040614,-0.0216518080367625,TRUE,0.431333906295837,1.00100002641805,-0.106162483839512,TRUE,0.318830413294354,1.0009860059685,-0.00638783527882092,TRUE,0.645746753227313,1.00100461663713,-0.140971406209472,TRUE,0.411886741393672,1.0010063432408
35,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0810431591854782,0.083369476015984,-0.194643851648422,TRUE,0.501003827308966,1.00106614373159,-0.238624182548497,FALSE,0.314209522286614,1.00099700396839,-0.143290268953381,TRUE,0.575882986164328,1.00105833718956,-0.267409333171007,FALSE,0.433845134073884,1.00098669384101
36,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.106808325518167,0.108835834851835,0.0117793321456401,TRUE,0.459549755518275,1.00098600216576,-0.0967081830930334,TRUE,0.401186605401583,1.00098816842053,0.0694520948196767,TRUE,0.526710495041698,1.00102035451046,-0.185993155205624,TRUE,0.617610388278972,1.00099692368248
37,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0894669618459253,0.0931912661071019,-0.0622174674537106,TRUE,0.525976831940717,1.00101164134216,-0.171694667237211,TRUE,0.406551281174516,1.00098658733478,0.0865741657664602,TRUE,0.503262556818771,1.00105172188361,-0.300759790254773,FALSE,0.597388332956068,1.00104632664321
38,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.101881084879933,0.10279436564209,-0.135488834412597,TRUE,0.524289213852442,1.00098601807388,-0.1615281444048,TRUE,0.361103612639725,1.00099735228731,-0.119145068592043,TRUE,0.748316970040217,1.00104260683083,-0.177039732826349,TRUE,0.469335461319202,1.00098896205544
39,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0856879376691519,0.0876596947292699,0.0603688083775281,TRUE,0.450045644377959,1.00174988759865,-0.0212330121442996,TRUE,0.319575407633459,1.00098720845986,0.220743182151865,TRUE,0.420306362300111,1.00131596736846,-0.126959803047899,TRUE,0.443706388057467,1.0010307284546
40,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.08829978233651,0.0899393085800034,-0.00994784256854775,TRUE,0.428325729899415,1.00098835134792,-0.0932504802363545,TRUE,0.363514552827176,1.00099997697761,-0.0627064476291437,TRUE,0.558140682136265,1.0009906296916,-0.107048029627876,TRUE,0.543068959986993,1.0009886763429
41,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.088092057879637,0.089162077181411,-0.0708697453016041,TRUE,0.514501410257545,1.00099679457187,-0.120375562741946,TRUE,0.38873262584701,1.00101705583003,-0.0739351215336477,TRUE,0.576465598794104,1.00099691558149,-0.137999609014007,TRUE,0.593022676059978,1.00099028216297
42,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.112147098281778,0.113791953731363,-0.0780958300992811,TRUE,0.507721541633632,1.00100965137287,-0.105019064506129,TRUE,0.385245030478123,1.00100283107012,-0.115563553633977,TRUE,0.568903117477756,1.00160932563978,-0.101533994357556,TRUE,0.596662393928428,1.00101084999213
43,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.073626582503375,0.0749330844189559,-0.0323055188960728,TRUE,0.516092822341511,1.00112513797644,-0.089548098544757,TRUE,0.386924153221965,1.00102129127252,-0.0601387990344067,TRUE,0.744020320440336,1.00099189294846,-0.100785077560601,TRUE,0.523252644066545,1.00103910747706
44,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0792144019634555,0.0826959635518699,0.00847260448109033,TRUE,0.426427627275974,1.00099536599807,-0.0467060112546982,TRUE,0.279908325203744,1.00101875048138,0.112437505990317,TRUE,0.509429304609481,1.00099106711269,-0.0997444050370739,TRUE,0.350989813615285,1.00099983208734
45,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0840855054488695,0.084423916685742,-0.0835092763820486,TRUE,0.557401160136611,1.00110279773762,-0.17106709921925,TRUE,0.462509035553656,1.00108322399576,0.0371595415267421,TRUE,0.528103830380811,1.00102817791337,-0.298488709595378,TRUE,0.744963276139551,1.00104334757443
46,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0740250119934156,0.0792443914446994,-0.105723750465427,TRUE,0.590500456601421,1.00098775740127,-0.165200705012889,TRUE,0.467499672977429,1.0009886409344,0.0277861975020557,TRUE,0.749065464990719,1.0009901293449,-0.273416370932366,TRUE,0.656065762305111,1.00099997143659
47,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0834120007119868,0.0871886974106889,0.0700669338709439,TRUE,0.436094988451269,1.00246868173563,-0.0604062367521174,TRUE,0.426586409169587,1.00099668160106,0.0777774415982451,TRUE,0.515964430578129,1.00101269119036,-0.137716158236853,TRUE,0.714854394256516,1.00098715865309
48,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0946560068654145,0.0978765445197054,-0.219308850579497,TRUE,0.628959147031594,1.00107099352865,-0.231288732905579,FALSE,0.49637437166879,1.00098654704664,-0.259286841737413,TRUE,0.753215088501141,1.0009894889914,-0.213365974757935,TRUE,0.749156951125477,1.00098660951237
49,"rand=1-1_rate=2_ROB=L_UH_Bias=NRE strong","1-1",2,"L_UH","NRE strong",0,0.048790164169432,0.0953101798043249,0.048790164169432,0.182321556793955,0.300104592450338,0.0816053949817457,0.0832453213027088,-0.0834915153874916,TRUE,0.486497376350196,1.00108770619294,-0.086336108316547,TRUE,0.323517932628327,1.00100387025047,-0.0926263744466147,TRUE,0.612715743873407,1.00128344188388,-0.0861936328677999,TRUE,0.43909905297887,1.00098882108175
