"sim","scenario","Rand","Nrct_rate","ROB_srt","bias_pattern","low_rct","unclear_rct","high_rct","low_obs","unclear_obs","high_obs","mean_true_bias","mean_abs_true_bias","bias","coverage","CIw","Rhat","bias_naive","coverage_naive","CIw_naive","R_naive","bias_rct_est","coverage_rct","CIw_rct","R_rct","bias_obs_est","coverage_obs","CIw_obs","R_rct.1"
1,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,-0.00393381412873439,0.0262609756982406,0.00500797731274771,TRUE,0.472695522267462,1.00110250002849,0.0227491926507611,TRUE,0.396410746414951,1.00098824993115,0.0313114811823885,TRUE,0.484535437132857,1.00103352865766,0.0104856270875965,TRUE,0.832579909670144,1.00101233468792
2,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.0066955029408669,0.0275146063220372,0.0264157122509403,TRUE,0.460767100139321,1.00099079366326,-0.0385690529110536,TRUE,0.39073786301601,1.00098860539744,0.0353896143199126,TRUE,0.417655742349288,1.00326194947574,-0.0993385774442435,TRUE,0.972143914262601,1.0010126060575
3,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.000538036920974955,0.0208802300838047,0.175701033566816,TRUE,0.411881216985841,1.00100331420443,0.142895069270795,TRUE,0.311280122679999,1.00103121625111,0.235877006209566,FALSE,0.357022234128457,1.00159119442536,0.0628598877142464,TRUE,0.627774493497207,1.00099646716904
4,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,-0.0147122844536936,0.0254333875892736,0.0831923038960658,TRUE,0.384025086779501,1.00098832981485,0.0117306095296946,TRUE,0.335603028688365,1.00101249317962,0.00481277195659369,TRUE,0.720072664217379,1.00100296078814,0.0102846779720547,TRUE,0.379527993981172,1.00104325046665
5,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.00782448939655385,0.0290530871566591,-0.127131348417651,TRUE,0.500851464531419,1.0010503048871,-0.0867119610726939,TRUE,0.380488512319013,1.00098599131607,-0.118652823729213,TRUE,0.498886555683539,1.00126960776426,-0.0490701914574942,TRUE,0.738989846361664,1.00105135925615
6,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.000539364408362975,0.0258973056946856,0.073861073210394,TRUE,0.465203777234234,1.00101150555674,0.0523714563898948,TRUE,0.378597516370902,1.00098848780834,0.224944508364292,FALSE,0.374456153774966,1.00119842830525,-0.139336587601504,TRUE,0.765405789794304,1.00099055946101
7,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.00897062065186774,0.0315177898916895,0.0202081103252222,TRUE,0.432057491550213,1.00099038135657,-0.0163582035111145,TRUE,0.316751461316723,1.00098599098848,0.00441483801689624,TRUE,0.51501267937786,1.00098815846984,-0.0298624190001151,TRUE,0.494863316141896,1.00099363060624
8,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.00951170624026733,0.022721290834436,0.00120514678114081,TRUE,0.459175555616963,1.00111386932446,0.0577801629589902,TRUE,0.360459081393903,1.00098781006472,-0.0227673557007719,TRUE,0.47703263427099,1.00103968365422,0.122189581697296,TRUE,0.673949995677096,1.00099396150321
9,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,0.00267228803905586,0.0345680668946046,-0.0888105083551864,TRUE,0.56852222738745,1.00102171060344,-0.141833761555275,TRUE,0.48406373942241,1.00099167038649,0.0218339272586415,TRUE,0.504739688466543,1.00099278539059,-0.3175056957321,TRUE,1.0304988054071,1.00101857840039
10,"rand=1-2_rate=1.5_ROB=L_UH_Bias=No Bias","1-2",1.5,"L_UH","No Bias",0,0,0,0,0,0,-0.00974248538737589,0.0196546029290537,0.0947236606431935,TRUE,0.443990325784524,1.00100060475188,0.076061319021043,TRUE,0.33201037035927,1.00116307380048,0.149001347270223,TRUE,0.39538743331311,1.00127754810744,0.0212236903557561,TRUE,0.681070221028716,1.00101643184591
